node,score
CEBPB,0.00013674617204038913
IGF2,0.00013660437474983776
TUBB,0.0001364200403621437
SOS1,0.0001363650967874644
BDNF,0.00013557537916149758
ALB,0.0001354334330160009
MAPT,0.0001351921805122982
USP7,0.00013511299344695315
RBBP8,0.00013421774019293245
RUVBL1,0.00013419227071458103
FEN1,0.00013407195057959712
CDC45,0.00013395003746220462
MSH6,0.00013380952861211622
MLST8,0.00013365727064800308
ARRB2,0.00013325720144363796
ARRB1,0.00013293270386785419
BUB1,0.00013285662243575492
KIT,0.00013232054277308985
E2F5,0.0001323186524523334
AKT1S1,0.00013231472927114504
UBE2C,0.00013202399011139608
PALB2,0.00013149148323014618
NEDD4,0.0001312068109672121
ANXA5,0.00013119157688696296
CDC27,0.0001308060494532765
ATRX,0.00013075406041206388
IQGAP1,0.00013070537246062428
ALK,0.00013059120725301382
MCM10,0.00012987274402580075
UBE3A,0.00012986939005934215
INPPL1,0.00012936386746807525
CDC16,0.00012903217712357466
YBX1,0.00012863057684034686
PPP2R1A,0.00012846186426813732
TWIST1,0.00012801788669429955
KEAP1,0.00012793573320965873
ROCK2,0.0001278177033893518
CDC23,0.00012779507489295077
PDGFRA,0.00012770379674212993
ANAPC1,0.0001276594863931802
SLC2A1,0.00012735057187259456
PRDX1,0.00012731756507281311
ERBB4,0.00012725234428714277
CYCS,0.00012722173297808373
ANAPC10,0.0001271658422538339
ANAPC4,0.00012714314242763788
RRAGD,0.0001269203653089026
MAPKAP1,0.000126862645132903
CLSPN,0.0001268241930480092
ARID1A,0.00012678144826877748
MET,0.00012676038724002733
ANAPC2,0.00012653684294734315
ANAPC5,0.00012644158923371654
AGO1,0.0001262180638115323
CCNT1,0.00012578021634467208
MAP1LC3B,0.00012572509387894916
MDM4,0.00012535353471270874
ATF2,0.00012533385222998503
CCND3,0.000125333311066585
TCHP,0.00012529028137499615
H2BC3,0.00012526456302166234
PPP2CB,0.00012497117781582202
ANAPC13,0.00012489147290717313
BCL2L11,0.0001246308443734152
FKBP1A,0.00012339948719169907
XIAP,0.00012307301923382907
JAK1,0.00012268490284403756
APP,0.00012217618603829904
TBK1,0.00012175104028411519
PRR5,0.00012130250664519772
HDAC2,0.00012123128799605
UBB,0.00012120018901169585
DLG4,0.00012104753136443029
FLNA,0.00011995141119349756
FKBP4,0.00011925308765129527
NR4A1,0.00011898163082959192
ESR2,0.000118150272695959
SQSTM1,0.00011793692139658517
PDK1,0.0001169293780058548
PCNA,0.00011679445201564633
LAMP1,0.00011618112952292113
UBE2I,0.00011426183612408212
BLM,0.00011425667394952466
KAT5,0.00011407212208271282
MGMT,0.00011362193291660786
CDKN1C,0.00011313032896076532
PRKACA,0.00011308313469879995
CDK5,0.00011304546113110178
KDM1A,0.0001128544971027144
RBL2,0.00011267946862477375
PRKAA1,0.00011215769933817426
DDB1,0.00011193501309034746
PRKN,0.00011155608435340471
RAC2,0.0001115531656346287
HTT,0.00011091986766161985
PDGFRB,0.00011047317498721378
SESN2,0.00011031056755584468
CCN2,0.00010932181416209976
RB1CC1,0.00010925352401735744
MCM4,0.00010908687107466061
SPOP,0.00010897735784381497
PRKAB2,0.00010874908577895654
ERCC3,0.0001084262323157509
ATF4,0.00010816592076248489
PIK3C3,0.0001080286817587482
RRM2,0.00010801834789078345
CDKN3,0.00010783811557510197
MYBL2,0.00010766825733040124
CDK9,0.00010649432763633927
SESN1,0.00010621476109742557
NEDD8,0.00010614000946280895
MMP2,0.00010595518897474408
COMMD3-BMI1,0.00010571598686530985
POU5F1,0.00010565340975317498
HDAC3,0.00010552463086047732
TBC1D7,0.00010531224722566954
COPS5,0.00010476541151707491
CD8A,0.0001047129517539799
TNKS,0.00010464244214031857
